departamento,NRO.,MUNICIPIO,ENTIDAD,DIRECCIÓN,query_address,country,admin_area,lon,lat
TARIJA ,1,BERMEJO,Banco para el Fomento a Iniciativas Económicas S.A.,"Avenida Barrientos Ortuño s/n, entre calles Germán Busch y Virgen de Chaguaya, Zona Central","Avenida Barrientos Ortuño s/n, entre calles Germán Busch y Virgen de Chaguaya, Zona Central BERMEJO",BO,TARIJA ,-64.3432454,-22.7302
TARIJA ,2,BERMEJO,Banco Prodem S.A.,AV. BARRIENTOS S/N ESQ. GERMAN BUSCH,AV. BARRIENTOS S/N ESQ. GERMAN BUSCH BERMEJO,BO,TARIJA ,-64.3134946,-22.6820212
TARIJA ,3,BERMEJO,Banco Unión S.A.,Pasaje Oruro s/n entre calles Beni y calle Litoral.,Pasaje Oruro s/n entre calles Beni y calle Litoral. BERMEJO,BO,TARIJA ,-67.0931378,-17.9716723
TARIJA ,4,BERMEJO,Banco Unión S.A.,"Calle German Busch,esquina Chuquisaca,Plaza Principal.","Calle German Busch,esquina Chuquisaca,Plaza Principal. BERMEJO",BO,TARIJA ,-64.3432001,-22.7317533
TARIJA ,5,BERMEJO,Cooperativa de Ahorro y Crédito Abierta San josé de Bermejo Ltda.,CALLE GERMÁN BUSCH ENTRE BARRIENTOS  Y CHUQUISACA,CALLE GERMÁN BUSCH ENTRE BARRIENTOS  Y CHUQUISACA BERMEJO,BO,TARIJA ,-64.3381229,-22.7357685
TARIJA ,6,BERMEJO,CRECER IFD,Av.Barrientos entre C/Alfredo Ameller y Cochabamba,Av.Barrientos entre C/Alfredo Ameller y Cochabamba BERMEJO,BO,TARIJA ,-66.1653224,-17.4139766
TARIJA ,7,BERMEJO,Fundación Pro Mujer IFD,"Calle Cochabamba s/n, Barrio Lindo Zona 1","Calle Cochabamba s/n, Barrio Lindo Zona 1 BERMEJO",BO,TARIJA ,-66.1653224,-17.4139766
TARIJA ,8,CARAPARÍ,Banco Unión S.A.,"Calle Bolívar s/n Esquina Junín, Zona Norte de Carapari, Provincia Gran Chaco.","Calle Bolívar s/n Esquina Junín, Zona Norte de Carapari, Provincia Gran Chaco. CARAPARÍ",BO,TARIJA ,-63.7414851,-21.8291921
TARIJA ,9,CARAPARÍ,"Cooperativa de Ahorro y Crédito Societaria ""San Francisco Solano"" RL.",Calle Bolivar entre calles 6 de agosto y Fray Quebracho - ATENDERÁ LOS MARTES Y JUEVES DE 8:00 A 11:00,Calle Bolivar entre calles 6 de agosto y Fray Quebracho - ATENDERÁ LOS MARTES Y JUEVES DE 8:00 A 11:00 CARAPARÍ,BO,TARIJA ,-64.70031310000002,-21.5407475
TARIJA ,10,EL PUENTE,"Cooperativa de Ahorro y Crédito Abierta ""Madre y Maestra"" R.L.",AV. 29 DE SEPTIEMBRE S/N,AV. 29 DE SEPTIEMBRE S/N EL PUENTE,BO,TARIJA ,NA,NA
TARIJA ,11,ENTRE RÍOS,Banco Prodem S.A.,CALLE FROILAN TEJERINA ESQ. ABAROA (ACERA ESTE DE LA PLAZA PRINCIPAL),CALLE FROILAN TEJERINA ESQ. ABAROA (ACERA ESTE DE LA PLAZA PRINCIPAL) ENTRE RÍOS,BO,TARIJA ,-64.7399658,-21.5180583
TARIJA ,12,ENTRE RÍOS,Banco Unión S.A.,Calle Eduardo Abaroa s/n esq. Bolívar (Plaza Principal),Calle Eduardo Abaroa s/n esq. Bolívar (Plaza Principal) ENTRE RÍOS,BO,TARIJA ,-64.1744425,-21.5279092
TARIJA ,13,ENTRE RÍOS,Cooperativa de Ahorro y Crédito Abierta Magisterio Rural R.L.,Calle Alianza casi esquina Bolívar,Calle Alianza casi esquina Bolívar ENTRE RÍOS,BO,TARIJA ,-64.1744425,-21.5279092
TARIJA ,14,ENTRE RÍOS,CRECER IFD,"C/Ayacucho esq. Bolivar S/N, localidad Entre Ríos","C/Ayacucho esq. Bolivar S/N, localidad Entre Ríos ENTRE RÍOS",BO,TARIJA ,-64.1744425,-21.5279092
TARIJA ,15,PADCAYA,Cooperativa de Ahorro y Crédito Abierta Magisterio Rural R.L.,Calle Gilberto Saavedra casi esq. Campero,Calle Gilberto Saavedra casi esq. Campero PADCAYA,BO,TARIJA ,-64.71179649999999,-21.8888192
TARIJA ,16,PADCAYA,Banco PYME Ecofuturo S.A.,Av. Bermejo esquina Plaza Principal - ATENDERÁ LOS LUNES Y MIÉRCOLES,Av. Bermejo esquina Plaza Principal - ATENDERÁ LOS LUNES Y MIÉRCOLES PADCAYA,BO,TARIJA ,-64.3134946,-22.6820212
TARIJA ,17,TARIJA,Banco Fortaleza S.A.,"Calle La Madrid No. 330 frente a Plaza Luis de Fuentes, Zona Central","Calle La Madrid No. 330 frente a Plaza Luis de Fuentes, Zona Central TARIJA",BO,TARIJA ,-64.73434639999999,-21.5333479
TARIJA ,18,TARIJA,Banco Fassil S.A.,Calle Sucre N° 621 entre Calle Ingavi y Calle La Madrid,Calle Sucre N° 621 entre Calle Ingavi y Calle La Madrid TARIJA,BO,TARIJA ,-64.7289074,-21.5344078
TARIJA ,19,TARIJA,Banco para el Fomento a Iniciativas Económicas S.A.,Calle Sucre No. 629 casi esquina calle Ingavi,Calle Sucre No. 629 casi esquina calle Ingavi TARIJA,BO,TARIJA ,-64.7289074,-21.5344078
TARIJA ,20,TARIJA,Banco Prodem S.A.,"PLAZA PRINCIPAL LUIS DE FUENTES, EN LA ESQUINA DE LA CALLE GENERAL BERNARDO TRIGO Y LA MADRID
","PLAZA PRINCIPAL LUIS DE FUENTES, EN LA ESQUINA DE LA CALLE GENERAL BERNARDO TRIGO Y LA MADRID
 TARIJA",BO,TARIJA ,-64.7345363,-21.5334294
TARIJA ,21,TARIJA,Banco Unión S.A.,Puente Internacional Yacuiba Edificio ACI Bolivia/Argentina.,Puente Internacional Yacuiba Edificio ACI Bolivia/Argentina. TARIJA,BO,TARIJA ,-63.6838281,-22.0529979
TARIJA ,22,TARIJA,Banco Unión S.A.,Av. Juan Pablo II s/n Aeropuerto TariJa,Av. Juan Pablo II s/n Aeropuerto TariJa TARIJA,BO,TARIJA ,-64.70930969999999,-21.5482703
TARIJA ,23,TARIJA,Banco Unión S.A.,Calle General Trigo N°650 entre Calles Ingavi y Madrid.,Calle General Trigo N°650 entre Calles Ingavi y Madrid. TARIJA,BO,TARIJA ,-64.734743,-21.532393
TARIJA ,24,TARIJA,Banco Unión S.A.,Av. Panamericana (pasando la calle Comercio) - Zona Mercado Campesino,Av. Panamericana (pasando la calle Comercio) - Zona Mercado Campesino TARIJA,BO,TARIJA ,-64.7423574,-21.5193481
TARIJA ,25,TARIJA,Banco Unión S.A.,"Avenida La Paz, esquina Avenida Jaime Paz Zamora, zona Sur.","Avenida La Paz, esquina Avenida Jaime Paz Zamora, zona Sur. TARIJA",BO,TARIJA ,-64.7243747,-21.5410282
TARIJA ,26,TARIJA,Banco Unión S.A.,"Avenida Julio Arce Castrillo, esquina Mariano Colodro N° 810,Barrio Senac,Zona Noroeste.","Avenida Julio Arce Castrillo, esquina Mariano Colodro N° 810,Barrio Senac,Zona Noroeste. TARIJA",BO,TARIJA ,-64.7503222,-21.54021
